epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1118.86,1.12722,2.31325,1.54934,0.44618,0.31926,0.33895,0.15824,1.83994,4.91002,2.47608,0.000299939,0.000299939,0.000299939
2,2002.89,1.30862,1.95997,1.6779,0.26124,0.15043,0.15953,0.05598,2.18663,7.07283,2.97771,0.000601304,0.000601304,0.000601304
3,2844.99,1.42861,2.03406,1.7602,0.75927,0.16667,0.23189,0.08533,2.19388,3.98555,2.8144,0.00089614,0.00089614,0.00089614
4,3710.85,1.43064,1.97106,1.74119,0.3287,0.33766,0.2436,0.10289,2.20433,5.16099,2.62822,0.000886978,0.000886978,0.000886978
5,4640.67,1.35277,1.85179,1.68413,0.49262,0.31602,0.30071,0.11518,2.17259,3.31319,2.51608,0.000870099,0.000870099,0.000870099
6,5333.39,1.33055,1.79064,1.6779,0.31982,0.15262,0.24489,0.10507,2.27768,4.13588,2.96861,0.000848717,0.000848717,0.000848717
7,6257.12,1.25877,1.65327,1.59919,0.70444,0.28029,0.4154,0.16246,2.06298,2.77976,2.42263,0.000823066,0.000823066,0.000823066
8,7395.32,1.2048,1.53408,1.55932,0.58875,0.36364,0.45215,0.21267,1.94,2.46199,2.41663,0.000793427,0.000793427,0.000793427
9,8281.53,1.1947,1.51481,1.559,0.6893,0.3786,0.4786,0.24263,2.03922,2.45383,2.44573,0.000760124,0.000760124,0.000760124
10,9113.5,1.14279,1.422,1.51896,0.72829,0.3998,0.50683,0.25754,1.84304,2.09365,2.2393,0.000723522,0.000723522,0.000723522
11,9863.39,1.10603,1.30488,1.48879,0.72318,0.38636,0.48454,0.24609,1.8707,2.08072,2.27541,0.000684023,0.000684023,0.000684023
12,10663.8,1.06568,1.24393,1.4677,0.74439,0.50027,0.59397,0.29327,1.81295,1.81898,2.18738,0.000642058,0.000642058,0.000642058
13,11449.8,1.05311,1.1704,1.44339,0.82582,0.36367,0.45106,0.21152,1.9595,2.54346,2.46881,0.000598089,0.000598089,0.000598089
